verdict	term	reading	pos	docs	total	example
	負託	フタク	名詞	12	14	○株主の負託に応え、収益性・成長性・健全性を備えた事業をグローバルに展開します。
	果断	カダン	名詞	12	15	（４）取締役会における透明・公正かつ迅速・果断な意思決定のための、取締役会の役割・責務の適切な遂行に努めます。
	各期	カクキ	名詞	15	18	３ 【配当政策】当社は、利益配分の決定にあたり、各期の事業収益を勘案し安定的な配当を行うことを基本方針としております。
	育休	イクキュウ	名詞	10	19	2025年度の育休取得率は、個人ベースの実態としては男女ともに100%でした。
	競業	キョウギョウ	名詞	9	10	取締役が競業または利益相反取引をした場合は、遅滞なくその取引についての重要な事実を取締役会に報告することになっている。
	確度	カクド	名詞	10	11	また、顧客要求により高い確度で応えるため、自社での誘導技術、評価技術の開発も進めています。
	無配	ムハイ	名詞	23	33	ただし、無配又は純損失となった場合には不支給とします。
	上市	ジョウシ	名詞	9	20	〇下記の体外診断用医薬品の上市を目指します。
	持ち直し	モチナオシ	名詞	41	55	資源素材部門では、リチウム塩類については需要環境の持ち直しを背景に、産業用途や蓄電池向けを中心に収益を確保しました。
	預かり	アズカリ	名詞	13	30	また、長期預り保証金は、賃借人より預託されたものであります。
	僅少	キンショウ	名詞	173	235	その全体に占める割合は僅少であるため記載を省略しました。
	配賦	ハイフ	名詞	19	30	２. 配賦基準は勤務時間比によっております。
	割り戻し	ワリモドシ	名詞	10	10	時の経過に伴う割引額の割戻しは純損益として認識しています。
	毎期	マイキ	名詞	57	88	（基本給）　成果評価及び行動評価の結果に基づき、毎期昇給額を決定しております。
	遵法	ジュンポウ	名詞	15	16	内部統制担当部署はグループ各社の事業活動について遵法の指導を行い、内部監査担当部署は監査を行う。
	役付き	ヤクヅキ	名詞	19	28	全社費用の主なものは提出会社の役付取締役の役員報酬と秘書部、グループ経営企画局に係る費用である。
	差損	サソン	名詞	19	23	※５　抱合せ株式消滅差損の内容は次のとおりであります。
	用品	ヨウヒン	名詞	21	166	1946年３月商号を日本温泉水道用品株式会社に変更。
	取り崩し	トリクズシ	名詞	30	36	２．個別貸倒引当金の当期減少額（その他）は、回収等による取崩額です。
	買い増し	カイマシ	名詞	15	18	自己株式の減少株式数は、単元未満株式の買い増しによるものであります。
	社内外	シャナイガイ	名詞	51	69	また、社内外の環境の変化に応じた改善を随時行う。
	各氏	カクシ	名詞	16	38	各氏と当社との間に特別な利害関係はありません。
	備忘	ビボウ	名詞	14	17	当該遊休資産の回収可能価額は、備忘価額により評価しております。
	仕掛け品	シカケヒン	名詞	52	86	仕掛品個別法による原価法を採用しております。
	結了	ケツリョウ	名詞	22	39	2021年12月株式会社エムオー清算結了。
	稼得	カトク	名詞	13	33	事業セグメントは、他の事業セグメントとの取引を含む、収益を稼得し費用を発生させる事業活動の構成単位であります。
	解職	カイショク	名詞	12	19	ロ　取締役等に関する事項取締役会は、代表取締役と役付取締役（業務執行取締役）の選定及び解職の決定を行います。
	直物	ジキモノ	名詞	74	166	① 外貨建取引外貨建取引は、取引日における直物為替相場又はそれに近似するレートにより機能通貨に換算している。
	互選	ゴセン	名詞	9	17	監査等委員会の委員長は、監査等委員の互選により、唐津惠一氏が務めています。
	摘要	テキヨウ	名詞	9	14	２ 【沿革】 年月摘要1921年６月会社設立(相武自動車株式会社)。
	建屋	タテヤ	名詞	10	14	さらに、建屋の耐震改修を進め、主要な建屋は現行の耐震基準と同等以上の耐震性能を確保するようにしております。
	絞り込み	シボリコミ	名詞	12	17	サステナビリティに係るリスクの識別、優先的に対応すべきリスクの絞り込みについて、適宜、取締役会にて詳細な検討を行い、共有しております。
	戻し入れ	モドシイレ	名詞	18	43	のれんに関連する減損損失は戻入れません。
	別売	ベツバイ	名詞	9	10	（地域別売上高前年同期比：国内；6.2％増加、海外；5.3％増加)。
	期中	キチュウ	名詞	132	312	２．期中にて全額を繰上返済しております。
	組み込み	クミコミ	名詞	13	27	「エンベデッドソリューション」は、主に組込み開発事業で構成しております。
	職層	ショクソウ	名詞	9	20	具体的には、将来の経営層、管理職層となる人財の候補者をリストアップし、次世代リーダー研修を実施しております。
	稟議	リンギ	名詞	38	43	意思決定の迅速化、内容の適正等を確保するためのIT基盤を整備し、電子稟議等を導入する。
	減資	ゲンシ	名詞	27	50	なお、資本金の減資割合は72.22％である。
	据え付け	スエツケ	名詞	11	25	吉屋（煙台）集成建築科技有限公司においては、内装工事の設計・施工及び設備の据え付けを行っております。
	寸断	スンダン	名詞	12	15	たとえば、気候変動によりもたらされる災害は調達・物流・エネルギー供給網を寸断し、各事業所への部品調達やエネルギー調達を困難にします。
	減算	ゲンザン	名詞	64	146	繰延税金資産を認識していない将来減算一時差異及び繰越欠損金は次のとおりである。
	受発注	ジュハッチュウ	名詞	9	9	そして、本社とオンラインネットワークで結ばれた受発注システムにより、全国のお客様に即日商品をお届けしております。
	要否	ヨウヒ	名詞	44	73	このため、減損の兆候がある資産グループに関し減損損失の認識の要否の判定を行っております。
	積み上がる	ツミアガル	動詞	9	13	リスクの特定：鶏糞が処理できず、在庫として農場に積みあがること。
	預け入れ	アズケイレ	名詞	25	28	これは主に、定期預金の預入や投資有価証券の取得をしたことによるものであります。
	知財	チザイ	名詞	11	15	当社の監査役は、財務・会計、法務・知財等の知見を持つ監査役を選任しております。
	分掌	ブンショウ	名詞	42	65	こうした属人的な事業体制を見直すために、権限の委譲や業務分掌に取り組んでおります。
	売価	バイカ	名詞	22	28	同時に、各種製品において売価の是正などによる収益性の向上を図ってまいります。
	職位	ショクイ	名詞	33	57	具体的には、それぞれの職位や役割に応じた研修を実施しています。
	工数	コウスウ	名詞	25	46	見積工事原価総額は、仕様や工期により見積った材料単価・使用量、労務費単価・作業工数、諸経費等で算出しております。
	次表	ジヒョウ	名詞	13	13	なお、市場価格のない株式等は、次表には含めておりません。
	職制	ショクセイ	名詞	9	11	（２） 職制及び職務分掌、職務権限規則を整備し、各職務の権限と責任を明確化する。
	純増	ジュンゾウ	名詞	17	21	これは主に、短期借入金の純増減額が増加したこと等によります。
	上表	ジョウヒョウ	名詞	40	69	２　市場価格のない株式等は上表に含まれておりません。
	贈収賄	ゾウシュウワイ	名詞	17	18	特に競争法違反及び贈収賄に係るリスクは、欧米を含む厳しい各国法令が適用され、違反時のリスクが高いと考えられます。
	月例	ゲツレイ	名詞	53	77	確定額報酬は在任中において月例で支給します。
	除却	ジョキャク	名詞	178	590	(2)除却、売却　該当事項はありません。
	未収	ミシュウ	名詞	15	34	未収消費税等は、１年以内に還付予定であります。
	簿価	ボカ	名詞	131	338	建物及び土地の簿価は、下記のとおりであります。
	相反	ソウハン	名詞	78	141	利益相反取引監視委員会は、独立社外取締役２名により構成されています。
	内数	ウチスウ	名詞	59	66	3．[　]内の数字は賃貸中のもので内数です。
	適否	テキヒ	名詞	100	167	なお、当該株式保有の適否の検証等につきましては、今後検討してまいります。
	預かり金	アズカリキン	名詞	29	89	※３．長期預り金処理益は次のとおりであります。
	員数	インズウ	名詞	121	369	取締役の員数は定款上20名以内とします。
	内規	ナイキ	名詞	51	92	また、当社における従業員の給与の額及び内容については、内規に基づき決定しております。
	組み入れ	クミイレ	名詞	38	86	なお、１株当たりの発行価格は325円であり、資本組入額は162.5円となります。
	仕組み作り	シクミヅクリ	名詞	12	13	当該リスクへの対応として、コンプライアンス教育や違反を生じさせない仕組みづくりに取り組んでおります。
	貸し手	カシテ	名詞	11	29	当社グループが中間の貸手である場合、ヘッドリースとサブリースを別個に会計処理します。
	業況	ギョウキョウ	名詞	11	15	当体制により、当社財務部門が業績・業況を適時把握できる管理体制を整備しております。
	細則	サイソク	名詞	10	13	なお、細則については、当社と付与対象者の間で締結する「新株予約権割当契約書」で定めております。
	本源	ホンゲン	名詞	15	20	また、単位当たりの本源的価値の算定基礎となる自社の株式の評価方法はＤＣＦ法によっております。
	洗い出す	アライダシ	動詞	20	24	さらに洗い出された複数の分析・生成AIテーマについて、当社の知見を活かしながら期待できる効果と実行難易度によって優先度付けを行います。
	則する	ソクシ	動詞	14	17	当社は、反社会的勢力に対して屈することなく法律に則して対応いたします。
	期首	キシュ	名詞	180	1018	２．適用予定日2028年３月期の期首から適用します。
	月次	ゲツジ	名詞	68	104	月次の取引実績は、取締役会に報告しております。
	金型	カナガタ	名詞	15	44	また、設備投資の主要なものは、金型の購入であります。
	上期	カミキ	名詞	14	20	したがいまして、経常利益も上期に比較して下期に偏る傾向にあります。
	車載	シャサイ	名詞	16	44	車載向け基板は、新規顧客への販売が増加しました。
	与信	ヨシン	名詞	99	195	連結子会社についても、当社に準じて与信管理を行っております。
	掛け合わせる	カケアワセル	動詞	14	16	「成果」と「成長」の評価結果を掛け合わせた総合評価を決定し、これを基に昇降格や賞与等の処遇を決定しています。
	授権	ジュケン	名詞	24	31	前連結会計年度および当連結会計年度における授権株式数は、1,100,000,000株であります。
	完遂	カンスイ	名詞	11	15	(1) 経営方針当社は現在、事業再生計画を完遂させるべく鋭意取り組んでおります。
	案分	アンブン	名詞	81	165	なお、固定報酬は12か月案分にて毎月給付します。
	底上げ	ソコアゲ	名詞	22	27	これにより、現場の教育負担を軽減しつつ、若手社員の知識・能力の早期底上げを図ります。
	協業	キョウギョウ	名詞	45	97	2002年４月他取次と返品協業会社、出版共同流通㈱を設立。
	売り出し	ウリダシ	名詞	9	15	同日、新投資口発行及び投資口売出しを実施したことにより連結子会社から除外。
	切り下げる	キリサゲル	動詞	9	12	なお、一定期間を超えて滞留するものについては、規則的に帳簿価額を切り下げております。
	通期	ツウキ	名詞	29	40	翌期は複数事業の通期寄与により、このEBITDAが大幅に拡大する見通しです。
	上程	ジョウテイ	名詞	24	35	また、経営会議に付された議案のうち、必要なものについては取締役会に上程されます。
	課金	カキン	名詞	16	44	メディアは、メディア広告と反響課金を提供するサービスです。
	借り換え	カリカエ	名詞	12	22	現在の金利上昇局面においては、借り換え後の適用金利が従前を上回り資金調達コストが増加する可能性があります。
	極小	キョクショウ	名詞	13	18	中間階層を極小化し、権限委譲を大幅に拡大することで、地域密着型の店舗運営や即座の課題解決を可能にする環境を整備しております。
	利活用	リカツヨウ	名詞	15	27	宇宙関連領域では、サービス事業拡大フェーズとして衛星データの利活用分野に注力してまいります。
	室長	シツチョウ	名詞	15	20	②　内部監査の状況　内部監査機能として、代表取締役社長及び監査等委員会の指揮命令下に内部監査室を設置しており、室長１名で構成しております。
	略歴	リャクレキ	名詞	39	56	補欠監査役の略歴は次のとおりであります。
	落とし込む	オトシコミ	動詞	10	12	マテリアリティを各部門年度実行計画への落とし込み、全社一丸で進めております。
	下期	シモキ	名詞	22	32	したがいまして、経常利益も上期に比較して下期に偏る傾向にあります。
	仕入れ先	シイレサキ	名詞	44	93	エネルギーコスト高に対しては、製法や仕入先の工夫により対処いたします。
	純額	ジュンガク	名詞	118	337	なお、取引金額については、純額で表示しております。
	減産	ゲンサン	名詞	9	11	具体的には減産による販売機会の喪失や、単位当たり原価の悪化による影響であります。
	来期	ライキ	名詞	11	13	今期はシステムの改良を行い、来期、本格運用開始を目指しています。
	収受	シュウジュ	名詞	23	53	菓子の製造・販売については、顧客に菓子等の商品などを提供し、対価を収受した時点で収益を認識しております。
	鋼材	コウザイ	名詞	10	14	また、高級鋼をはじめとする各種鋼材を東南アジア・南アジアを中心とした市場に供給しています。
